DATE,RHEACBW027SBOG
2015-03-18,455.2342
2015-03-25,454.5868
2015-04-01,454.6052
2015-04-08,454.0253
2015-04-15,453.9062
2015-04-22,453.5049
2015-04-29,453.3665
2015-05-06,452.9391
2015-05-13,452.1891
2015-05-20,451.6492
2015-05-27,451.1261
2015-06-03,450.5136
2015-06-10,449.8414
2015-06-17,449.2141
2015-06-24,448.7673
2015-07-01,448.2658
2015-07-08,447.6519
2015-07-15,447.1764
2015-07-22,446.6716
2015-07-29,446.254
2015-08-05,445.6217
2015-08-12,444.7458
2015-08-19,443.7642
2015-08-26,443.3919
2015-09-02,443.307
2015-09-09,444.8353
2015-09-16,444.2864
2015-09-23,443.755
2015-09-30,443.4255
2015-10-07,442.8734
2015-10-14,442.1673
2015-10-21,442.1732
2015-10-28,442.4931
2015-11-04,442.3736
2015-11-11,442.0076
2015-11-18,442.0306
2015-11-25,441.8802
2015-12-02,441.9581
2015-12-09,442.1697
2015-12-16,441.7289
2015-12-23,441.5368
2015-12-30,440.977
2016-01-06,440.2863
2016-01-13,439.3726
2016-01-20,437.5397
2016-01-27,437.1786
2016-02-03,436.7628
2016-02-10,436.4359
2016-02-17,435.9533
2016-02-24,435.541
2016-03-02,435.1738
2016-03-09,434.8403
2016-03-16,433.9367
2016-03-23,433.3566
2016-03-30,432.7419
2016-04-06,432.0546
2016-04-13,431.363
2016-04-20,431.0476
2016-04-27,430.7303
2016-05-04,430.1873
2016-05-11,429.7784
2016-05-18,429.2318
2016-05-25,428.7022
2016-06-01,428.3682
2016-06-08,427.9411
2016-06-15,427.4555
2016-06-22,426.8031
2016-06-29,426.725
2016-07-06,426.5513
2016-07-13,425.7676
2016-07-20,424.9594
2016-07-27,424.6097
2016-08-03,424.3276
2016-08-10,423.7684
2016-08-17,423.0543
2016-08-24,422.3788
2016-08-31,422.1078
2016-09-07,421.0991
2016-09-14,420.1467
2016-09-21,419.5746
2016-09-28,419.3601
2016-10-05,419.1107
2016-10-12,417.9881
2016-10-19,416.2464
2016-10-26,415.1635
2016-11-02,414.3166
2016-11-09,413.4287
2016-11-16,412.6878
2016-11-23,411.6356
2016-11-30,411.0633
2016-12-07,408.8071
2016-12-14,408.1145
2016-12-21,406.9298
2016-12-28,405.9643
2017-01-04,403.1916
2017-01-11,402.7012
2017-01-18,402.411
2017-01-25,402.4125
2017-02-01,402.2185
2017-02-08,402.0425
2017-02-15,401.9353
2017-02-22,401.8524
2017-03-01,401.7061
2017-03-08,401.4651
2017-03-15,401.1716
2017-03-22,400.8903
2017-03-29,400.5544
2017-04-05,400.3089
2017-04-12,399.8715
2017-04-19,399.4536
2017-04-26,398.6922
2017-05-03,398.2146
2017-05-10,398.0611
2017-05-17,397.3757
2017-05-24,396.7392
2017-05-31,396.5962
2017-06-07,396.0081
2017-06-14,395.6196
2017-06-21,394.8539
